,FastHours,age,alcw,weight,height,waist,neck,BMI,bsa,sbp,dbp,abi,HbA1c,FPG,HbA1cIFCC,ldl,hdl,trigs,totchol,LEPTIN,HSCRP,ENDOTHELIN,ALDOSTERONE,cystatinC,sCort,adiponectin,SCrCC,SCrIDMS,eGFRmdrd,eGFRckdepi,maneuvers,FVC,FEV1,FEV6,FEV1PP,FVCPP,EF,ecgHR,QRS,QT,QTcFram,QTcBaz,QTcHod,QTcFrid,CV,dailyDiscr,lifetimeDiscrm,perceivedStress,vitaminD3,FakeCensusTractID,nbmedHHincome,nbpctpoverty,nbpctBlackNH,nbpctWhiteNH,nbSESpc2score,nbSESanascore,nbProblems,nbCohesion,nbViolence,nbK3FavorFoodstore,nbK3paFacilities,nbPopDensity1mi,sportIndex,hyIndex,activeIndex,years,days
dbp,0.017756596096769703,-0.1195594900368938,0.09376968394584687,0.15224814022700867,0.20098024525348618,0.09539609135425627,0.20597810339588518,0.05510474348701461,0.1963595263313139,0.537281988651735,1.0,0.033675168444176715,-0.026900114737985915,-0.007931542684129942,-0.02690208025990365,0.06878676527695343,-0.07861457351477989,0.05450671282525606,0.049290137739244524,-0.10948396104039566,-0.04551042937287706,0.07598992500880834,0.0869954000243677,-0.029180057630628746,0.03630968043858488,-0.07453170621031692,0.1408943619529033,0.14077454093215025,0.009045163931447673,0.007452805765490767,-0.011086096549881436,0.17254420088664768,0.18010402080057192,0.17914479246095114,-0.0567696440788066,-0.07506192561184745,-0.10120328386891084,0.08809528983337993,0.03284190082116639,-0.09030878401715983,-0.02627923595322954,0.006309414148718804,-0.05279676082535544,-0.03525263829386253,0.20829730501207322,0.0565168490752601,0.06219386216540604,0.01928874347790815,0.003094115931830522,-0.02581164492906924,0.0525206431321445,-0.05761907234390274,-0.06935093380536521,0.07111921912411182,-0.02951719983701535,0.05233568291278548,-0.022382802150527528,-0.018936461467104936,-0.008408452920218206,-0.0635161046066158,-0.01812088109757976,-0.060734144642165984,0.0036596125422350507,0.02493294134220107,0.0013556396140080005,-0.07944398556909947,-0.07944398556796652
abi,-0.003185260912989587,-0.0725094627465695,-0.018707461576481267,0.19216475975852002,0.10547971269344522,0.15989239269452687,0.18941304515732557,0.14835942972497865,0.19951684007515835,-0.060371417909047646,0.033675168444176715,1.0,0.019966985298615344,0.03629595498668933,0.019958424129573635,-0.01744723303536946,-0.1240735173494246,0.043873148940473644,-0.049738920647434494,-0.023222602451953917,0.00211123894314856,-0.002777376867453981,0.012679796851297248,-0.02401074429474878,-0.02632108174633187,-0.09369437570317894,0.05199643377188849,0.0516505186409627,0.0387137611102495,0.029941516742282265,0.002994195631132191,0.07688823200850861,0.1070184765321622,0.09091104273145231,-0.007379603446091402,-0.05289618566461122,-0.0713059183258146,0.01751410602380457,0.03258961964559535,-0.05098153214986337,-0.05077184877470981,-0.037011819848396965,-0.05513207693243079,-0.051144025343221926,0.08800212656022832,0.011752820545358728,0.06443074085531376,-0.017585120032960096,-0.0031653903109082875,-0.04480788542218525,0.04406209733020931,-0.05898873676819682,-0.05644851120974119,0.05732273391990584,-0.008809874638011996,0.0406513565967094,-0.05341259130241324,0.014707542668044015,-0.05025909077442507,-0.07783281767804395,-0.04881501517749744,-0.08341285418908619,0.04683471081692287,0.033806313912629116,0.02194487837412565,-0.02840367192496008,-0.028403671917802128
HbA1c,-0.18753443091169394,0.19999350463528187,-0.050965778421284934,0.18527619397568404,-0.009871807747387442,0.258787156584696,0.2073941867454179,0.20023452877833373,0.1581594579711509,0.13267461329939978,-0.026900114737985915,0.019966985298615344,1.0,0.7724228861232029,0.9999999705241764,0.042765021824315436,-0.11019547178016553,0.20453464142304414,0.0642921804781033,0.08311993911860743,0.14124909716633507,0.0259213789558632,0.06770463571307245,0.10840261097536699,0.101259400511668,-0.08418971937328407,-0.017373556018947807,-0.017252728686362507,-0.007278418045955457,-0.05876733446773903,0.01648731072512659,-0.15570885702734166,-0.1664636607949796,-0.16505354106543543,-0.1395882051704906,-0.15795937575790084,-0.00997037594946975,0.1745357967017478,0.06865581080460353,-0.062142369148590226,0.06661600531974886,0.12662545799906727,0.04797309404757297,0.06469939107387643,0.102332411475338,-0.024651315101389425,-0.04192405921932464,-0.0547928031099808,-0.00260892824435931,0.06439188274339486,-0.09436678541719093,0.1102068814340088,0.07657249647203321,-0.07708179264566171,0.06112165786663713,-0.10366260005686216,0.08705466934023703,-0.05550370946638675,0.08242325914178232,0.10614459899217485,0.05399815396113396,0.0948963515967258,-0.07085394545101743,-0.022473849449459894,-0.06232635065848333,-0.031342799559485816,-0.03134279956055112
FPG,-0.05876756202961781,0.20800631012038046,-0.028289587753034848,0.12957983762347694,0.0033689637584295674,0.18943106434438525,0.18343335165556598,0.13437963162313743,0.1165685396420158,0.14281279814229494,-0.007931542684129942,0.03629595498668933,0.7724228861232029,1.0,0.7724246904206094,0.040511135525931406,-0.098004150002579,0.22099535196657044,0.07196268466443377,0.04449434607058261,0.09916118824815318,0.028108941761069116,0.1061461113341743,0.10671166531525371,0.17182312954031517,-0.09478171924794475,0.006928475448272259,0.006768786564725819,-0.01777062103351521,-0.07133237167289394,0.04849857199047948,-0.13732032931658278,-0.13617791011043182,-0.13824433475575373,-0.10887042065413692,-0.14390610838931758,-0.0016769307952063841,0.1730229241637785,0.07519030242468604,-0.06924547301963918,0.05961845468799574,0.11769545114316181,0.03614974250753401,0.05516712901426879,0.11290232659338968,-0.03384746309008313,-0.02437975809565737,-0.03880491219362075,0.0061791253645589635,0.04692939533787144,-0.08451662196634425,0.09771157591129384,0.08828956977477066,-0.08901583569288597,0.046314656639061175,-0.09055764614631233,0.08691543631482741,-0.0539163295249997,0.07988245358882604,0.10928527947497708,0.04426858968258687,0.1072893111809249,-0.07723293975610164,-0.015102749225881194,-0.046896232875528236,-0.0019095385355593975,-0.0019095385402613893
HbA1cIFCC,-0.18753843334438483,0.1999941639030305,-0.050969020448327865,0.18527224361923994,-0.009874484379036704,0.2587843667415592,0.20739289596620078,0.2002321836525416,0.15815544642026944,0.13267352620675818,-0.02690208025990365,0.019958424129573635,0.9999999705241764,0.7724246904206094,1.0,0.042769392626875714,-0.11018934295707955,0.20453052397640023,0.0642975456016152,0.08312155130353603,0.14124515729907025,0.0259272381344863,0.06770720999618186,0.10840375937401991,0.1012582061124611,-0.08418912921377666,-0.01737513265384487,-0.017253951422486244,-0.007278017142288934,-0.058767854927523726,0.016487212994720484,-0.15571259235539597,-0.1664673032259946,-0.16505746500004287,-0.1395864901204577,-0.15795731906496116,-0.009969705376303248,0.17453913731107457,0.06865775983714256,-0.06214144365124277,0.06661953109480818,0.12662975827073777,0.047976727913879975,0.06470282762363062,0.10233653099112694,-0.024654770495774563,-0.04192930703620194,-0.054785072338495486,-0.0026130878310460155,0.06438955246241071,-0.09437124835820368,0.11021034114213411,0.07657439951532742,-0.07708396991055143,0.061125211718719,-0.1036671478998129,0.08705575344495936,-0.05550538970679789,0.08242471471083708,0.10614782053830273,0.054002423154852236,0.09490040482165014,-0.0708531405894582,-0.02248228741293041,-0.062320602312226206,-0.031341880746981056,-0.03134188074804592
ldl,0.03307016558733865,0.05880085359601858,-0.03344850819500633,0.019596471517299117,0.012404202826269578,0.04030479103964276,0.0620581955608534,0.013759515662097023,0.02556511849429245,0.08054730837992548,0.06878676527695343,-0.01744723303536946,0.042765021824315436,0.040511135525931406,0.042769392626875714,1.0,-0.10409825945480375,0.08106974866022805,0.9189484092142443,0.010221025740006221,-0.059581890907267274,0.00573561261639351,0.07365232936471398,0.03703894965633792,-0.00205427148045858,-0.06118528510241917,0.07838171581321157,0.07906724677446955,-0.07765601173402381,-0.08928509595899817,-0.013940456986933445,0.008718824969837745,0.015290241041555833,0.008466896521289211,0.02598477738386936,0.012885934539947356,0.03056576589892112,-0.002093132884402877,0.015534927940650598,-0.019355678594839863,-0.026638728908133204,-0.026554384950775053,-0.027809445755682154,-0.028512180328568785,0.01777454447588668,-0.0040039186541971986,0.019708811124547337,-0.020220271641130876,-0.0042500952042448205,-0.025756319534852634,0.03268974140531258,-0.04312214838224464,-0.010834048720571093,0.011320859881255302,-0.017030076285953356,0.03662763700447351,-0.03506043784783696,0.02766048084574816,-0.03571008724389841,-0.04246813465221878,-0.014876746425093148,-0.02641929655331018,-0.008107555135731526,0.025722594417913455,-0.031869668010757614,-0.03401608601397201,-0.03401608601244539
hdl,0.03752961844354556,0.13836819677469775,0.02493739426853898,-0.25520756590899557,-0.2555704847063033,-0.22063988966130688,-0.40151634431178573,-0.13711117053217836,-0.3120257923012566,0.007807707391526102,-0.07861457351477989,-0.1240735173494246,-0.11019547178016553,-0.098004150002579,-0.11018934295707955,-0.10409825945480375,1.0,-0.3063074847723102,0.17849539295335334,0.10778445764403982,0.033794931262245,-0.017645300481944872,-0.05675078905549258,-0.07969501413497429,0.07259068213882747,0.4242771536411143,-0.20247745129700195,-0.20242389005004163,-0.021205997780305286,-0.0038644996608258033,0.01521817919112376,-0.21176603291807494,-0.22609427576627666,-0.2169781312191064,0.08810609939258739,0.10960420204603037,0.1020594967060112,0.008116500553582274,-0.03414811972765254,0.08089140622136634,0.11703355041820947,0.1059959958413314,0.11351731888528883,0.11586561889181364,-0.12023877672036189,-0.07818347924373426,-0.07282805733205511,-0.003301463157957209,0.008390312591643315,-0.01375363193716233,-0.04053488229717115,0.04787386527558429,0.0813997909423599,-0.08107419443539954,0.01645800776917845,-0.03596732660985585,0.048695266446207905,-0.006649471797502017,0.04509145346142236,0.051663044068438725,0.003150119852219615,0.06516696602126194,0.01938004185691442,-0.01920906502203016,0.026231475523745832,0.08174851152237386,0.08174851152335237
trigs,-0.04960691307623828,0.13356020598802903,0.06394452047028583,0.11315812354120393,0.04589905604749929,0.17844790457071244,0.24292809382116806,0.09356036925662642,0.11942543471966298,0.10701292321883117,0.05450671282525606,0.043873148940473644,0.20453464142304414,0.22099535196657044,0.20453052397640023,0.08106974866022805,-0.3063074847723102,1.0,0.25921206038044964,0.00017166577843790449,0.07209767223360528,0.10154104289346796,0.15620314680719283,0.2027541507039815,0.13918143631749422,-0.22995851340901435,0.12989286554488264,0.12932031193994567,-0.10052679708470505,-0.13358632725044575,-0.023334502686885396,-0.04044241227094883,-0.03384167857045724,-0.04051189458355579,-0.05068492371907866,-0.08387240391605112,-0.008840509878451907,0.09913854929918405,0.03740475395021794,-0.05137374374252954,0.028023760111243377,0.06067807197364808,0.0059228431569651055,0.02262902606473678,0.1228464859804507,-0.03356248113452459,0.01385760294245891,-0.027059582970570775,0.052392795412096155,0.030074916662901054,-0.01944063963752419,0.010289320607470426,0.03182555616685277,-0.033705450314754935,-0.010119795247052962,-0.009054942593107688,-0.0028094622369061162,0.007645445142364226,-0.011302071901892254,0.04787753109923512,0.03908066845874195,0.0529328094101975,-0.012862357986727215,-0.024552553141045815,-0.04584966114215126,-0.03477328323836889,-0.0347732832422391
totchol,0.028939791057388135,0.1464795024721397,-0.0006143992826182003,-0.042319746201896886,-0.06829356607013048,0.009375264344837528,-0.018689142323639753,-0.010605888963078503,-0.0554644950502631,0.10922687798808595,0.049290137739244524,-0.049738920647434494,0.0642921804781033,0.07196268466443377,0.0642975456016152,0.9189484092142443,0.17849539295335334,0.25921206038044964,1.0,0.04523728300808374,-0.01949849146452807,0.03177884105041794,0.09130612711827811,0.06411726500304528,0.07032205690523517,0.031324142513040186,0.03674704526365655,0.037231139881113956,-0.10805736625248002,-0.12292610724618935,-0.013311142371602382,-0.0824755577990721,-0.07984213108379429,-0.0847973354206272,0.039648429265445206,0.025597420539695572,0.06230870797228235,0.03239734002727903,0.013528668845068622,-0.0060823085540516915,0.025099965028741403,0.031463261141868794,0.01574828303969243,0.02103387261894876,0.0089291035246596,-0.041781899159216665,-0.005970669543887034,-0.02873271311711255,0.013272076459999038,-0.02012122219445502,0.0077683498201219425,-0.017976697275501316,0.029547526530553668,-0.02954427525308666,-0.011276874731006064,0.016207205340993576,-0.014703157692093126,0.02523675235274391,-0.0195040964166009,-0.003935949815950215,0.0004991055606091631,0.016499964628474244,-0.005910708069031385,0.00810721156383463,-0.0354321545157493,-0.018339165111799317,-0.018339165111283813
LEPTIN,0.011415120454971504,-0.00014959028451686776,-0.18493509009135328,0.4072288293238629,-0.40264608575482574,0.46333922537864014,-0.0605254125282537,0.6392282780718005,0.1888296491079221,-0.005968600969923756,-0.10948396104039566,-0.023222602451953917,0.08311993911860743,0.04449434607058261,0.08312155130353603,0.010221025740006221,0.10778445764403982,0.00017166577843790449,0.04523728300808374,1.0,0.36876087356136344,0.020656602077863958,0.05758622954175098,0.27425264106274483,-0.2304084083028262,0.048384922429282363,-0.17469889352439516,-0.17404824615079015,-0.15536939339419073,-0.07512015754900085,0.018583168538136612,-0.457805920044038,-0.4131574673063792,-0.45897356733912736,-0.0629511521053804,-0.1071852918563442,0.10295399102296433,0.17003977170594334,-0.03801228309586185,0.07988642462861716,0.28381000325005246,0.3149486547342182,0.2360500990744389,0.273523399725278,-0.11748647655956072,-0.033184927655314014,-0.05604410807662056,0.07676397077697807,-0.16974284186458205,0.033220474068824134,-0.076523299802543,0.058095109789771046,0.044229442664789516,-0.0451009434548297,0.05020219586655116,-0.06693996157669958,0.06426836354253407,-0.040056250718081284,0.0585060939284683,0.06566668617406518,0.03377392252369359,0.0639082699311808,-0.10845700347845966,-0.05279827566084291,-0.06629250581664921,0.04046165868540618,0.040461658682190475
